Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	308.629	0	0
FBtr0300738	2350	2149.61	0.578936	28.0355
FBtr0300739	2172	1971.61	0	0
FBtr0300737	2184	1983.61	1.38666	61.9645
FBtr0300736	2338	2137.61	0	0
FBtr0078628	2467	2266.61	0	0
FBtr0300740	2479	2278.61	0	0
FBtr0078627	2301	2100.61	0	0
FBtr0300741	2313	2112.61	0	0
FBtr0072762	889	688.611	74.7645	1159.81
FBtr0346821	1270	1069.61	5.53168	133.291
FBtr0331460	900	699.611	2.4351	38.3788
FBtr0303848	5005	4804.61	3.81165	412.561
FBtr0086122	1465	1264.61	0.91264	26
FBtr0335147	3125	2924.61	0	0
FBtr0081459	3019	2818.61	24.8887	1580.35
FBtr0305321	6523	6322.61	0.71207	101.423
FBtr0083716	5665	5464.61	17.8512	2197.58
FBtr0078184	1305	1104.61	0.443041	11.0248
FBtr0081691	765	564.611	0	0
FBtr0085263	1228	1027.61	0.107993	2.5
FBtr0086342	492	291.651	0.152202	1
FBtr0086343	495	294.646	4.76407e-08	3.16225e-07
FBtr0091847	1023	822.611	0.515871	9.55989
FBtr0072393	1393	1192.61	70.472	1893.36
FBtr0343502	867	666.611	0	0
FBtr0343753	3569	3368.61	2.34707	178.112
FBtr0433525	3725	3524.61	0	0
FBtr0113895	961	760.611	2.39945	41.1141
FBtr0345179	887	686.611	122.117	1888.89
FBtr0334135	4703	4502.61	0	0
FBtr0334137	4561	4360.61	1.24129	121.937
FBtr0334141	5321	5120.61	0	0
FBtr0334139	4203	4002.61	0	0
FBtr0334140	5704	5503.61	0	0
FBtr0344148	4894	4693.61	0	0
FBtr0334142	5071	4870.61	0	0
FBtr0334138	5563	5362.61	0	0
FBtr0334136	3862	3661.61	2.40425	198.321
FBtr0085105	995	794.611	4.24563	76
FBtr0346720	2745	2544.61	0	0
FBtr0076089	442	241.934	0	0
FBtr0087500	1417	1216.61	14.0108	384
