Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.578	0	0
FBtr0300738	2350	2168.37	0	0
FBtr0300739	2172	1990.37	1.64885	28.969
FBtr0300737	2184	2002.37	0.00175313	0.0309868
FBtr0300736	2338	2156.37	0	0
FBtr0078628	2467	2285.37	0	0
FBtr0300740	2479	2297.37	0	0
FBtr0078627	2301	2119.37	0	0
FBtr0300741	2313	2131.37	0	0
FBtr0072762	889	707.375	71.0931	443.911
FBtr0346821	1270	1088.37	4.23795	40.7149
FBtr0331460	900	718.375	2.30672	14.6273
FBtr0303848	5005	4823.37	4.48439	190.929
FBtr0086122	1465	1283.37	0.617911	7
FBtr0335147	3125	2943.37	0	0
FBtr0081459	3019	2837.37	21.1717	530.262
FBtr0305321	6523	6341.37	1.05954	59.3089
FBtr0083716	5665	5483.37	18.2365	882.691
FBtr0078184	1305	1123.37	0.605073	6
FBtr0081691	765	583.375	0	0
FBtr0085263	1228	1046.37	0	0
FBtr0086342	492	310.611	0	0
FBtr0086343	495	313.611	0	0
FBtr0091847	1023	841.375	0.795338	5.9069
FBtr0072393	1393	1211.37	14.0279	150
FBtr0343502	867	685.375	2.69187e-06	1.62855e-05
FBtr0343753	3569	3387.37	3.3109	98.9984
FBtr0433525	3725	3543.37	0	0
FBtr0113895	961	779.375	24.4946	168.513
FBtr0345179	887	705.375	46.8144	291.487
FBtr0334135	4703	4521.37	0	0
FBtr0334137	4561	4379.37	0.38681	14.953
FBtr0334141	5321	5139.37	0	0
FBtr0334139	4203	4021.37	0	0
FBtr0334140	5704	5522.37	0	0
FBtr0344148	4894	4712.37	0	0
FBtr0334142	5071	4889.37	0	0
FBtr0334138	5563	5381.37	0	0
FBtr0334136	3862	3680.37	3.35663	109.047
FBtr0085105	995	813.375	9.19252	66
FBtr0346720	2745	2563.37	0	0
FBtr0076089	442	260.667	0	0
FBtr0087500	1417	1235.37	11.4629	125
FBtr0073094	1694	1512.37	6.16518	82.3045
FBtr0073093	1577	1395.37	77.1848	950.696
FBtr0343515	1092	910.375	0	0
FBtr0072451	975	793.375	10.4238	73
FBtr0071607	2252	2070.37	3.33782	61
FBtr0081516	4704	4522.37	0.150302	6
FBtr0300749	931	749.375	3.45482	22.853
FBtr0346532	1185	1003.37	0.371434	3.28975
FBtr0073076	880	698.375	60.8077	374.857
FBtr0089289	4677	4495.37	0.322392	12.7929
FBtr0100448	4590	4408.37	0.428473	16.6733
FBtr0089290	4681	4499.37	0.000416248	0.0165319
FBtr0089288	4037	3855.37	12.2678	417.497
FBtr0100447	4417	4235.37	2.74157	102.497
FBtr0329933	4663	4481.37	0.0400168	1.58297
FBtr0336949	2826	2644.37	22.8745	533.941
FBtr0088786	1378	1196.37	82.3237	869.383
FBtr0088785	1869	1687.37	11.4479	170.512
FBtr0303077	607	425.431	0	0
FBtr0339716	615	433.431	0	0
FBtr0085459	600	418.431	82.5767	305
FBtr0070973	1218	1036.37	1.20242	11
FBtr0089252	2767	2585.37	3.19118	72.8272
FBtr0334488	2840	2658.37	2.04041	47.8798
FBtr0334489	2902	2720.37	0	0
FBtr0100600	3804	3622.37	3.37408	107.887
FBtr0300305	309	127.746	0	0
FBtr0077162	567	385.431	0	0
FBtr0072277	713	531.431	55.4253	260
FBtr0344898	1082	900.375	0	0
FBtr0086817	1175	993.375	0	0
FBtr0333271	5146	4964.37	0.819972	35.9321
FBtr0072639	5149	4967.37	0.412062	18.0679
FBtr0340000	824	642.375	1.14228	6.47706
FBtr0087390	427	245.667	101.231	219.523
FBtr0070472	3021	2839.37	0.0496843	1.24526
FBtr0331752	4499	4317.37	18.7842	715.866
FBtr0070475	3174	2992.37	7.35943	194.392
FBtr0070474	3218	3036.37	0.291419	7.81073
FBtr0302185	2166	1984.37	1.65873	29.0547
FBtr0070471	4805	4623.37	6.44288	262.941
FBtr0112828	2903	2721.37	4.78502	114.945
FBtr0301966	3182	3000.37	0.905792	23.9896
FBtr0070468	3055	2873.37	17.0387	432.163
FBtr0070476	2745	2563.37	0	0
FBtr0070470	3110	2928.37	0	0
FBtr0331751	4750	4568.37	1.17163	47.2466
FBtr0070469	4244	4062.37	13.7181	491.919
FBtr0070467	2929	2747.37	0	0
FBtr0331753	5004	4822.37	1.09943	46.8001
FBtr0070466	2847	2665.37	0	0
FBtr0070473	3091	2909.37	0	0
FBtr0076265	1575	1393.37	56.1	690
FBtr0331935	1030	848.375	0	0
FBtr0088237	816	634.375	102.148	572
FBtr0081705	1363	1181.37	0	0
FBtr0088524	1299	1117.37	86.0776	849
FBtr0074540	843	661.375	24.3233	142
FBtr0074494	1357	1175.37	0.385536	4
FBtr0085714	3349	3167.37	107.078	2993.77
FBtr0085713	3440	3258.37	861.352	24774.2
FBtr0076256	334	152.733	2.22521	3
FBtr0339552	1718	1536.37	9.79783	132.876
FBtr0078950	1533	1351.37	28.0939	335.124
FBtr0070990	1321	1139.37	1.29164	12.9906
FBtr0100409	805	623.375	0	0
FBtr0343330	706	524.431	108.662	503.021
FBtr0304902	1617	1435.37	0.540989	6.85445
FBtr0304901	2286	2104.37	0.169338	3.14555
FBtr0078872	1228	1046.37	0.108267	1
FBtr0077839	2112	1930.37	11.5252	196.384
FBtr0077837	2331	2149.37	1.74587	33.1241
FBtr0077838	2235	2053.37	4.88722e-08	8.85826e-07
FBtr0077836	2325	2143.37	27.4576	519.492
FBtr0075133	4018	3836.37	0.309867	10.4934
FBtr0332862	2190	2008.37	3.86429	68.5066
FBtr0087988	1754	1572.37	171.874	2385.54
FBtr0087987	1948	1766.37	474.756	7402.39
FBtr0074688	1633	1451.37	52.6092	674
FBtr0086864	3503	3321.37	13.6093	399
FBtr0083361	1283	1101.37	0	0
FBtr0392904	4164	3982.37	9.19178	323.117
FBtr0084588	2385	2203.37	101.172	1967.74
FBtr0303161	2639	2457.37	9.8378	213.397
FBtr0079257	1918	1736.37	16.1804	248
FBtr0307341	906	724.375	0	0
FBtr0084989	527	345.578	0.27414	0.836252
FBtr0306309	750	568.375	0.537424	2.69632
